job title;company name;date;location;skills;links;;,,,,,,,
Senior Odoo Developer (Python) (Upper Egypt);OdooTec -;2 months ago;Menia, Minya, Egypt ;Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science;https://wuzzuf.net/jobs/p/65ynrz26iczm-senior-odoo-developer-python-upper-egypt-odootec-minya-egypt;;,,,,,
Senior Odoo Developer (Python);OdooTec -;2 months ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science;https://wuzzuf.net/jobs/p/gn5o3fpqtmsf-senior-odoo-developer-python-odootec-cairo-egypt;;,,,,,
Junior Software Engineer;BlackDuck -;9 days ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · React · React Native · Node.js · Python · Django · GO · Back-End Development;https://wuzzuf.net/jobs/p/jip6aemxldlp-junior-software-engineer-blackduck-cairo-egypt;;,,,,,
Data analysis instructor / Consultant;Yat Learning Centers -;12 days ago;Abbassia, Cairo, Egypt ;Full TimeOn-siteExperienced · 3 - 16 Yrs of Exp · Analyst/Research · Education/Teaching · Training/Instructor · Data Analysis · Data Analytics · Power BI · Python · Tableau · instructor;https://wuzzuf.net/jobs/p/wwl3ctsttqyz-data-analysis-instructor-consultant-yat-learning-centers-cairo-egypt;;,,,,,
Backend Developer;Trade line -;12 days ago;Cairo, Egypt ;Full TimeOn-siteExperienced · 6 - 10 Yrs of Exp · Creative/Design/Art · IT/Software Development · Backend Development · Database Management · Cloud Computing · Programming (Python, Java, Node.js, Ruby) · Problem Solving · Version Control (Git) · CI/CD · Microservices;https://wuzzuf.net/jobs/p/sf63ut1peysz-backend-developer-trade-line-cairo-egypt;;,,,
Senior DevSecOps & Cloud Security Engineer;Confidential -;12 days ago;Cairo, Egypt ;Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud Security · DevSecOps · CI/CD Automation · Infrastructure as Code (IaC) · Vulnerability Management · Security Assessment · Incident Response;https://wuzzuf.net/jobs/p/oendtpixy43f-senior-devsecops-cloud-security-engineer-cairo-egypt;;,,,,,,
IOT Engineer;Skarpt Company  -;16 days ago;Hadayek Alahram, Giza, Egypt ;Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · IoT System Design · Programming (Python, C/C++) · Cybersecurity Fundamentals · Technical Documentation · Network Configuration · Sensor Integration · Data Analysis;https://wuzzuf.net/jobs/p/sdsqwm3kdijg-iot-engineer-skarpt-company-giza-egypt;;,,,,
Senior Python Developer;Nile Bits, LLC -;2 months ago;6th of October, Giza, Egypt ;Full TimeRemoteExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · APIs · RESTful · Python · Software Engineering · Computer Science · Design · Git;https://wuzzuf.net/jobs/p/gfqcezov2kmz-senior-python-developer-nile-bits-llc-giza-egypt;;,,,,
Software Engineer;Tigrisnet -;24 days ago;Nasr City, Cairo, Egypt ;Full TimeOn-siteExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Programming (Java, Python, C#, JavaScript) · Debugging and Troubleshooting · Technical Documentation · Agile Methodologies · Problem Solving · Cloud Computing;https://wuzzuf.net/jobs/p/knj8o0jqif9y-software-engineer-tigrisnet-cairo-egypt;;,,
AI Engineer;Ahmed Trading Group -;26 days ago;Chicago, United States ;Part TimeOn-siteEntry Level · 1 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI agent · AI Automation · Python · Java · TensorFlow;https://wuzzuf.net/jobs/p/ow7wqxo6obhm-ai-engineer-ahmed-trading-group-chicago-united-states;;,,,,,,
Data Engineer;ysolution -;27 days ago;New Damietta, Damietta, Egypt ;Full TimeRemoteExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Engineering · Python · data lakes;https://wuzzuf.net/jobs/p/zc0s3yl5epgb-data-engineer-ysolution-damietta-egypt;;,,,,,
Senior AI Engineer;Lumin -;29 days ago;Sheikh Zayed, Giza, Egypt ;Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence (AI) · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch;https://wuzzuf.net/jobs/p/mhps5woalmsm-senior-ai-engineer-lumin-giza-egypt;;,,,,,
Curriculum Development Lead;CodeTreps -;28 days ago;Mahta Alraml, Alexandria, Egypt ;Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Writing/Editorial · IT/Software Development · Training/Instructor · Curriculum Writing · Curriculum Planning · Curriculum Management · Training Programs · Entrepreneurship · Presentation Skills · Course Design;https://wuzzuf.net/jobs/p/qdwujhbqugto-curriculum-development-lead-codetreps-alexandria-egypt;;,,,,,
Data Scientist;Confidential -;3 days ago;Cairo, Egypt ;Full TimeRemoteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Machine Learning · Python · Statistical Modeling · R · 3D Imaging · Medical Imaging · Data Visualization;https://wuzzuf.net/jobs/p/rdal4e1kn3ch-data-scientist-cairo-egypt;;,,,,,,
Senior Odoo Developer;Arma-HSA -;4 days ago;Cairo, Egypt ;Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · ERP Implementation · PostgreSQL · System Integration · Business Process Analysis · HTML/CSS;https://wuzzuf.net/jobs/p/wmpf9mw7yh3f-senior-odoo-developer-arma-hsa-cairo-egypt;;,,,,,,
Odoo Developer;ECC Group -;6 days ago;Nasr City, Cairo, Egypt ;Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · PostgreSQL · ERP Customization · API Integration · JavaScript · HTML5 & CSS3 · Problem Solving;https://wuzzuf.net/jobs/p/y40fvnscdy75-odoo-developer-ecc-group-cairo-egypt;;,,,,,
Senior Quantitative Analyst;Confidential -;6 days ago;Cairo, Egypt ;Full TimeRemoteExperienced · 7+ Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Statistical Analysis · Machine Learning · Programming (Python, R, C++, MATLAB) · Quantitative Research · Backtesting · Risk Management · Data Analysis;https://wuzzuf.net/jobs/p/4rlbt7smavko-senior-quantitative-analyst-cairo-egypt;;,,,
ICT teacher - Alexandria;Egyptian English Language schools -;1 month ago;Montaza, Alexandria, Egypt ;Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Science · Education · English · Computer Science · Information Technology (IT) · ICT · computer;https://wuzzuf.net/jobs/p/dtajnzrqllww-ict-teacher-alexandria-egyptian-english-language-schools-alexandria-egypt;;,,,,,
Software Engineer (Python);dubizzle -;1 month ago;Dubai, United Arab Emirates ;Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software;https://wuzzuf.net/jobs/p/g/osmlaq81oxey-software-engineer-python-dubizzle-dubai-united-arab-emirates;;,,,,,,
Software Engineer (Python) - Data Platform;Revolut -;1 month ago;Dubai, United Arab Emirates ;Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software;https://wuzzuf.net/jobs/p/g/ixzn7xxcdodr-software-engineer-python-data-platform-revolut-dubai-united-arab-emirates;;,,,,,,
Software Engineer (Python) - Revolut People Product;Revolut -;1 month ago;Dubai, United Arab Emirates ;Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software;https://wuzzuf.net/jobs/p/g/mcmmynjoecdt-software-engineer-python-revolut-people-product-revolut-dubai-united-arab-emirates;;,,,,,,
Software Engineer (Python) - Mid/Senior;Revolut -;1 month ago;Dubai, United Arab Emirates ;Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software;https://wuzzuf.net/jobs/p/g/dmtltbspawsc-software-engineer-python-midsenior-revolut-dubai-united-arab-emirates;;,,,,,,
Data Analyst;Arma-HSA -;1 month ago;Cairo, Egypt ;Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · Analyst/Research · Data Analysis · Data Visualization · SQL · Python · Power BI · Problem Solving · Excel · Statistical Analysis · Reporting;https://wuzzuf.net/jobs/p/zb0s8o5r59sy-data-analyst-arma-hsa-cairo-egypt;;,,,,,,
Odoo Website Developer;AlZamel for consultation -;1 month ago;Maadi, Cairo, Egypt ;Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Odoo Development · HTML/CSS · Version Control (Git) · Python Programming;https://wuzzuf.net/jobs/p/fuylio6qzmai-odoo-website-developer-alzamel-for-consultation-cairo-egypt;;,,,,,
Senior Odoo Developer;OdooTec -;1 month ago;New Cairo, Cairo, Egypt ;Full TimeRemoteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science;https://wuzzuf.net/jobs/p/86lsk6x8doow-senior-odoo-developer-odootec-cairo-egypt;;,,,,,
Senior SOC Engineer;Confidential -;1 month ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SIEM · EDR · XDR · DLP · IDS/IPS · SOAR · Python · PowerShell;https://wuzzuf.net/jobs/p/9ayhmuo3ei1m-senior-soc-engineer-cairo-egypt;;,,,,,
Software Engineer;GLC Paints -;1 month ago;Obour City, Cairo, Egypt ;Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Development · Programming (Java, C#, Python, JavaScript) · Database Management (SQL) · Problem Solving · Agile Methodologies · Version Control (Git) · System Integration;https://wuzzuf.net/jobs/p/pu7gywc3m31k-software-engineer-glc-paints-cairo-egypt;;,,
Software QA Engineer;IKEN Technology -;1 month ago;Maadi, Cairo, Egypt ;Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Software Testing · Quality Assurance · Quality Control · Testing · API Testing · Team Leadership;https://wuzzuf.net/jobs/p/w7cjun587gup-software-qa-engineer-iken-technology-cairo-egypt;;,,,,,
Software Engineer Instructor;Pyramakerz -;1 month ago;Basatin, Cairo, Egypt ;Full TimeHybridExperienced · 2 - 3 Yrs of Exp · Engineering - Telecom/Technology · Education/Teaching · Training/Instructor · Instructor · Software Engineering · AI · Robotics · Mobile Development · Computer Science · Roblox Studio;https://wuzzuf.net/jobs/p/xfsp9hjzsqox-software-engineer-instructor-pyramakerz-cairo-egypt;;,,,,,
Odoo Developer (Remote);Al Tina -;1 month ago;Baghdad, Iraq ;Full TimeRemoteExperienced · 2+ Yrs of Exp · Business Development · IT/Software Development · Odoo · Odoo Development · ERP · Python · PostgreSQL · XML · functional consultation;https://wuzzuf.net/jobs/p/q0vfpb1b96ht-odoo-developer-remote-al-tina-baghdad-iraq;;,,,,,,
Senior QA Engineer;iDen2 -;1 month ago;San Francisco, United States ;Full TimeRemoteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Postman · Selenium · cypress · playwright · appium · Python · javascript · OWASP;https://wuzzuf.net/jobs/p/gcemjgavhceg-senior-qa-engineer-iden2-san-francisco-united-states;;,,,,,,
Software Development Specialist;Help AG -;1 month ago;Cairo, Egypt ;Full TimeHybridExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming (Java, Python, C#, JavaScript) · Angular · JavaScript · Typescript · Spring Boot · Docker · Kubernetes · Microsoft Azure;https://wuzzuf.net/jobs/p/0mbyxrrplnb1-software-development-specialist-help-ag-cairo-egypt;;,,,
Software Engineer;Arabian Data -;1 month ago;Nasr City, Cairo, Egypt ;Full TimeOn-siteEntry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Data Engineering · Python · Machine Learning · ETL Processes · Front-End Development · front-end web development · Back-End Development;https://wuzzuf.net/jobs/p/tyn8ftlbyfyx-software-engineer-arabian-data-cairo-egypt;;,,,,,
Salesforce Developer / Architect-AI;Mr Buyer LLC -;1 month ago;Cairo, Egypt ;Full TimeRemoteExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Salesforce · Salesforce CRM · Full Stack Development · develper · Artificial Intelligence (AI) · API Development · Python Programming;https://wuzzuf.net/jobs/p/wwiluxtqcibu-salesforce-developer-architect-ai-mr-buyer-llc-cairo-egypt;;,,,,,,
IT Manager Odoo Background;Confidential -;1 month ago;New Cairo, Cairo," Egypt ;""Full TimeRemoteManager · 10 - 15 Yrs of Exp · IT/Software Development · •	Technical management · •	Analyzing information · •	Data center management · •	Developing budgets · •	Creative thinker and strategic problem solver · •	Knowledge of coding/scripting (Bash", Python, JavaScript," etc...) · •	Familiarity with database concepts/scripting"";https://wuzzuf.net/jobs/p/s10zsv3pu9jl-it-manager-odoo-background-cairo-egypt;;",,
Data Analyst;IDC -;1 month ago;Cairo, Egypt ;Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Microsoft Excel · Power BI · SQL · Tableau · Python · AI · Data Analysis · Data Analytics;https://wuzzuf.net/jobs/p/rxv6ezyr8alr-data-analyst-idc-cairo-egypt;;,,,,,,
Business Analyst (Python);Burjline Builders -;28 days ago;Dubai, United Arab Emirates ;Full TimeEntry Level · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering;https://wuzzuf.net/jobs/p/g/4ft3ad3i4u77-business-analyst-python-burjline-builders-dubai-united-arab-emirates;;,,,,,,
Odoo Developer;National Technology -;1 month ago;Nasr City, Cairo, Egypt ;Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · business · Communication skills · Computer Science · Information Technology (IT) · Odoo · Python;https://wuzzuf.net/jobs/p/2feevg5b3xna-odoo-developer-national-technology-cairo-egypt;;,,,,,
Senior Odoo Developer;Union Group -;1 month ago;Obour City, Cairo, Egypt ;Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · HTML5 & CSS3 · PostgreSQL · API Integration · JavaScript · Problem Solving · Version Control (Git);https://wuzzuf.net/jobs/p/g0qbfhravsmv-senior-odoo-developer-union-group-cairo-egypt;;,,,,,
Senior Odoo Functional Consultant / Implementer;Formation OBS -;2 months ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteExperienced · 4+ Yrs of Exp · IT/Software Development · Python · Odoo ERP · ERP System · Odoo · Odoo Development · ERP · ERP Software · ERP Applications · ERP Solutions;https://wuzzuf.net/jobs/p/qyj3uxyfsvfl-senior-odoo-functional-consultant-implementer-formation-obs-cairo-egypt;;,,,,,
Senior Odoo Developer;Formation OBS -;2 months ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Odoo Development · Odoo ERP · Python · XML · Web Ontology Language · OWL · Odoo · ERP · ERP System;https://wuzzuf.net/jobs/p/hm73an0ju1uq-senior-odoo-developer-formation-obs-cairo-egypt;;,,,,,
Backend Developer;Outservingplus -;2 months ago;Cairo, Egypt ;Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Backend Development · API Development · Database Management · Programming (Python, Java, Node.js, etc.) · RESTful Services · Version Control (Git) · Problem Solving;https://wuzzuf.net/jobs/p/eyl8rljxf7ge-backend-developer-outservingplus-cairo-egypt;;,,,
Software developer internship;ARPUPLUS -;2 months ago;Giza, Egypt ;InternshipOn-siteStudent · IT/Software Development · Programming (Java, Python, C#, JavaScript) · Software Development Life Cycle (SDLC);https://wuzzuf.net/internship/0gbgnay5vdkb-software-developer-internship-arpuplus-giza-egypt;;,,,
Power BI Data Analyst;Zeina Group -;2 months ago;Sheikh Zayed, Giza, Egypt ;Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Azure · BI · DAX · Microsoft Power BI · Power BI · Python;https://wuzzuf.net/jobs/p/kfnzzjasrwun-power-bi-data-analyst-zeina-group-giza-egypt;;,,,,,
Senior Full-Stack Developer;Dakahlia Group -;2 months ago;Nasr City, Cairo, Egypt ;Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · IT/Software Development · JavaScript (React, Angular, or Vue.js) · Full-Stack Development · Back-End Programming (Node.js, Python, Java, .NET) · Full Stack Development · Web Development;https://wuzzuf.net/jobs/p/0rnmi6rphtxm-senior-full-stack-developer-dakahlia-group-cairo-egypt;;
QA Automation Tester;Billqode -;2 months ago;Sheraton, Cairo, Egypt ;Full TimeHybridExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · QA Automation · Selenium · Appium · Cypress · Test Scripting · Python · Java;https://wuzzuf.net/jobs/p/zrluilspk2eh-qa-automation-tester-billqode-cairo-egypt;;,,,,,
Senior Full Stack Developer;Sprint Star -;2 months ago;Cairo, Egypt ;Full TimeHybridExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · React · API Integration · Angular · .Net Development · SQL/NoSQL Databases · JavaScript · ReactAngular;https://wuzzuf.net/jobs/p/tnmzbsjzhfg1-senior-full-stack-developer-sprint-star-cairo-egypt;;,,,,,,
AI Engineer;Sprint Star -;2 months ago;Cairo, Egypt ;Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Python · AI;https://wuzzuf.net/jobs/p/ui8fafxnvwlj-ai-engineer-sprint-star-cairo-egypt;;,,,,,,
Full-Stack Developer;Software House Solution  -;2 months ago;Heliopolis, Cairo, Egypt ;Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Python · Django · CSS · HTML · Web Development;https://wuzzuf.net/jobs/p/r0eywi7aqfkr-full-stack-developer-software-house-solution-cairo-egypt;;,,,,,
Senior Data Analyst;Al Ahly capital holding - Al Ahly Tamkeen -;2 months ago;Zamalek, Cairo, Egypt ;Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting;https://wuzzuf.net/jobs/p/uupqoupcvnjl-senior-data-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt;;,,,,,
Data Analyst;Elite -;2 months ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Writing/Editorial · IT/Software Development · Analyst/Research · Microsoft Excel · Computer Skills · English Translation · data analyst · SQL · Microsoft SQL Server · SQL Server;https://wuzzuf.net/jobs/p/sj21s8nashvz-data-analyst-elite-cairo-egypt;;,,,,,
Odoo Techno Functional Consultant;ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY & COMFORT -;2 months ago;Cairo, Egypt ;Full TimeRemoteExperienced · 5 - 8 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Odoo ERP · User training and support · Business process analysis · Python programming · Remote collaboration · Technical troubleshooting · System integration;https://wuzzuf.net/jobs/p/kgwscmozbtq4-odoo-techno-functional-consultant-enaya-care-international-company-for-beauty-comfort-cairo-egypt;;,,,,,,
Senior Full Stack Developer;Monglish Academy -;2 months ago;Alexandria, Egypt ;Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · JavaScript (React, Angular, or Vue.js) · Node.js or Python · RESTful API Design · Database Management (SQL/NoSQL) · Cloud Computing (AWS, Azure, Google Cloud) · Responsive Web Design;https://wuzzuf.net/jobs/p/ehnz8azfgsqg-senior-full-stack-developer-monglish-academy-alexandria-egypt;;,,
Senior Devops Engineer;Bevatel -;2 months ago;Dokki, Giza, Egypt ;Full TimeHybridExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Kubernetes · Terraform · Google Cloud · GCP · Cloud · Computer Science · DevOps · Information Technology (IT);https://wuzzuf.net/jobs/p/oiryuqk0nvy1-senior-devops-engineer-bevatel-giza-egypt;;,,,,,
